project	method	n_deg_untrimmed	n_deg_trimmed	deg_jaccard	deg_gained	deg_lost	rho_log2fc	rho_top50_rank	n_path_untrimmed	n_path_trimmed	path_jaccard	rho_nes	dir_concordance
PRJNA384289	P20	6531	6921	0.8981233243967829	556	166	0.9928168056917345	0.8874429771908763	40	38	0.9024390243902439	0.95937575030012	1.0
PRJNA384289	P35	6531	0	0.0	0	6531			40	0	0.0		
PRJNA397941	A	6865	6865	1.0	0	0	0.99993591355124	0.9999039615846338	20	20	1.0	0.9996158463385355	1.0
PRJNA397941	P5	6865	6866	0.9960750109027475	14	13	0.9995673887812798	0.9988475390156061	20	21	0.9523809523809523	0.9993277310924369	1.0
PRJNA397941	P10	6865	6871	0.9953515398024404	19	13	0.9995619279686613	0.9983673469387755	20	18	0.9	0.9992316926770708	1.0
PRJNA397941	P20	6865	6979	0.9419273390377332	264	150	0.9609298396110943	0.9881872749099639	20	20	1.0	0.9912605042016807	1.0
PRJNA397941	P35	6865	0	0.0	0	6865	0.019305536920018157	-0.05286914765906363	20	50	0.4	-0.08292917166866745	0.65
PRJNA416439	A	8926	9244	0.8685726038667215	798	480	0.9537630175495706	0.9624489795918367	41	43	0.9534883720930233	0.9949099639855942	1.0
PRJNA416439	P5	8926	9252	0.8686266447368421	802	476	0.953865439917444	0.9635054021608642	41	43	0.9534883720930233	0.9918367346938775	1.0
PRJNA416439	P10	8926	9260	0.8629379225568531	836	502	0.9512694614362406	0.9630252100840335	41	43	0.9534883720930233	0.9944297719087635	1.0
PRJNA416439	P20	8926	9502	0.8040137053352913	1289	713	0.9182370480609381	0.8954141656662665	41	43	0.9534883720930233	0.9956782713085233	1.0
PRJNA416439	P35	8926	0	0.0	0	8926	0.02735560277158331	-0.37834008097165994	41	27	0.5111111111111111	0.4724489795918367	0.6
PRJNA419934	A	180	185	0.9623655913978495	6	1	0.9940921170437036	0.9963505402160864	32	32	1.0	0.999423769507803	1.0
PRJNA419934	P5	180	183	0.9728260869565217	4	1	0.9937889919276331	0.994141656662665	32	32	1.0	0.9995198079231692	1.0
PRJNA419934	P10	180	196	0.898989898989899	18	2	0.975969687342017	0.9886674669867946	32	34	0.9411764705882353	0.9986554621848739	1.0
PRJNA419934	P20	180	125	0.2248995983935743	69	124	0.6263176126223221	0.1971188475390156	32	47	0.6808510638297872	0.9056902761104442	1.0
PRJNA419934	P35	180	0	0.0	0	180	0.1938404257938389		32	0	0.0		
PRJNA479479	A	1390	1385	0.9964028776978417	0	5	0.9997752617607061	0.9997118847539016	43	43	1.0	0.9905882352941175	1.0
PRJNA479479	P5	1390	1396	0.9306999306999307	53	47	0.966200437374004	0.9937575030012005	43	43	1.0	0.9927010804321729	1.0
PRJNA479479	P10	1390	1390	0.9212163096060816	57	57	0.9663402648431043	0.9903001200480193	43	43	1.0	0.9906842737094838	1.0
PRJNA479479	P20	1390	1419	0.8877688172043011	98	69	0.9267108148911419	0.9722448979591836	43	43	1.0	0.9453541416566626	1.0
PRJNA479479	P35	1390	0	0.0	0	1390			43	0	0.0		
PRJNA509121	A	111	111	1.0	0	0	0.9999747817213295	0.9999999999999999	35	34	0.9714285714285714	0.9978871548619447	1.0
PRJNA509121	P5	111	111	1.0	0	0	0.9994099441472124	0.9997118847539016	35	34	0.9714285714285714	0.997406962785114	1.0
